Title,Stock Number,Price,Dia. (mm),Dimensions (mm),Dimensional Tolerance (mm),Cut-On Wavelength (nm),Reflection Wavelength (nm),Transmission Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),Wavelength Range (nm),Wavelength Range (?m),AOI (°),Coating,Substrate,Reflection (%),Surface Quality,Transmission (%),Type,Transmitted Wavefront Tolerance,Cut-On Tolerance (%),Slope Factor (%)
"1100nm, 12.5mm Diameter, Dichroic Longpass Filter",87-030,$99,12.50 +0.0/-0.1,,+0.0/-0.1 ,1100 ,825 - 1045 ,1135 - 1600 ,1.05 ,±0.05 ,825 - 1600 ,0.825 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"1150nm, 12.5mm Diameter, Dichroic Longpass Filter",87-031,$99,12.50 +0.0/-0.1,,+0.0/-0.1 ,1150 ,875 - 1095 ,1190 - 1600 ,1.05 ,±0.05 ,875 - 1600 ,0.875 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"1200nm, 12.5mm Diameter, Dichroic Longpass Filter",87-032,$99,12.50 +0.0/-0.1,,+0.0/-0.1 ,1200 ,920 - 1160 ,1240 - 1600 ,1.05 ,±0.05 ,920 - 1600 ,0.92 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"950nm, 12.5 x 17.6mm, Dichroic Longpass Filter",87-033,$99,,12.5 x 17.6 ,+0.0/-0.1 ,950 ,715 - 900 ,985 - 1600 ,1.05 ,±0.05 ,715 - 1600 ,0.715 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"1000nm, 12.5 x 17.6mm, Dichroic Longpass Filter",87-034,$99,,12.5 x 17.6 ,+0.0/-0.1 ,1000 ,750 - 950 ,1035 - 1600 ,1.05 ,±0.05 ,750 - 1600 ,0.75 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"1050nm, 12.5 x 17.6mm, Dichroic Longpass Filter",87-035,$99,,12.5 x 17.6 ,+0.0/-0.1 ,1050 ,790 - 1000 ,1085 - 1600 ,1.05 ,±0.05 ,790 - 1600 ,0.79 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"1100nm, 12.5 x 17.6mm, Dichroic Longpass Filter",87-036,$99,,12.5 x 17.6 ,+0.0/-0.1 ,1100 ,825 - 1045 ,1135 - 1600 ,1.05 ,±0.05 ,825 - 1600 ,0.825 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"1150nm, 12.5 x 17.6mm, Dichroic Longpass Filter",87-037,$99,,12.5 x 17.6 ,+0.0/-0.1 ,1150 ,875-1095 ,1190 - 1600 ,1.05 ,±0.05 ,875 - 1600 ,0.875 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"1200nm, 12.5 x 17.6mm, Dichroic Longpass Filter",87-038,$99,,12.5 x 17.6 ,+0.0/-0.1 ,1200 ,920 - 1160 ,1240 - 1600 ,1.05 ,±0.05 ,920 - 1600 ,0.92 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"950nm, 25mm Diameter, Dichroic Longpass Filter",87-039,$135,25.00 +0.0/-0.1,,+0.0/-0.1 ,950 ,715 - 900 ,985 - 1600 ,1.05 ,±0.05 ,715 - 1600 ,0.715 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
