Title,Stock Number,Price,Dia. (mm),CWL (nm),FWHM (nm),Transmission (%),Blocking Wavelength Range (nm),Compatible Fluorophore,Bandwidth (nm),Optical Density OD,CA (mm),Surface Quality,AOI (°),AOI Tolerance (°),Coating,Manufacturer,Mount Thickness (mm),OD 5 Blocking Wavelength Range (nm) ,OD 6 Blocking Wavelength Range (nm),Substrate,Thickness Tolerance (mm),"Transmitted Wavefront, RMS",Type
"640nm CWL, 12.5mm Dia, 14nm Bandwidth, OD 6 Fluorescence Filter",86-979,$195,12.50 +0.00/-0.10,640 ,20.00 ,93.00 ,250 - 1100 ,635nm Laser Excitation ,14.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 610 & 655 - 925 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"640nm CWL, 25mm Dia, 14nm Bandwidth, OD 6 Fluorescence Filter",86-987,$260,25.00 +0.00/-0.10,640 ,20.00 ,93.00 ,250 - 1100 ,635nm Laser Excitation ,14.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 610 & 655 - 925 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"640nm CWL, 50mm Dia, 14nm Bandwidth, OD 6 Fluorescence Filter",86-995,$675,50.00 +0.00/-0.10,640 ,20.00 ,93.00 ,250 - 1100 ,635nm Laser Excitation ,14.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 610 & 655 - 925 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"641nm CWL, 12.5mm Dia, 75nm Bandwidth, OD 6 Fluorescence Filter",67-022,$195,12.50 +0.00/-0.10,640.5 ,81.00 ,93.00 ,250 - 1100 ,mCherry Emission ,75.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 587 & 696 - 850 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"641nm CWL, 25mm Dia, 75nm Bandwidth, OD 6 Fluorescence Filter",67-036,$260,25.00 +0.00/-0.10,640.5 ,81.00 ,93.00 ,250 - 1100 ,mcherry Emission ,75.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 587 & 696 - 850 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"641nm CWL, 50mm Dia, 75nm Bandwidth, OD 6 Fluorescence Filter",67-050,$675,50.00 +0.00/-0.10,640.5 ,81.00 ,93.00 ,250 - 1100 ,mCherry Emission ,75.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 587 & 696 - 850 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"648nm CWL, 12.5mm Dia, 14nm Bandwidth, OD 6 Fluorescence Filter",33-335,$195,12.50 +0.00/-0.10,648 ,20.00 ,93.00 ,250 - 1100 ,FITC Emission ,14.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,300 - 621 & 677 - 925 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"648nm CWL, 25mm Dia, 14nm Bandwidth, OD 6 Fluorescence Filter",33-336,$260,25.00 +0.00/-0.10,648 ,20.00 ,93.00 ,250 - 1100 ,FITC Emission ,14.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,300 - 621 & 677 - 925 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"648nm CWL, 50mm Dia, 14nm Bandwidth, OD 6 Fluorescence Filter",33-337,$675,50.00 +0.00/-0.10,648 ,20.00 ,93.00 ,250 - 1100 ,FITC Emission ,14.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,300 - 621 & 677 - 925 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"655nm CWL, 12.5mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",86-347,$195,12.50 +0.00/-0.10,655 ,24.00 ,>93 ,250 - 1100 ,Qdot® 655 Emission ,15.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,403 - 455 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"655nm CWL, 25mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",86-358,$260,25.00 +0.00/-0.10,655 ,24.00 ,>93 ,250 - 1100 ,Qdot® 655 Emission ,15.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,403 - 455 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
