Title,Stock Number,Price,AOI (°),Coating,Cut-Off Wavelength (nm),Dia. (mm),Substrate,Optical Density OD,Rejection Wavelength (nm),Surface Quality,Thickness (mm),Thickness Tolerance (mm),Transmission (%),Transmission Wavelength (nm),Type,CA (%),"Transmitted Wavefront, P-V",Slope Factor (%),Cut-Off Tolerance (%),Wavelength Range (nm)
"1050nm 25mm Diameter, OD 2 Shortpass Filter",47-591,$125,0 ,Traditional Coated ,1050.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1130 - 1370 ,40-20 ,3.00 ,±0.1 ,>85 ,485 - 1000 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,485 - 1370 
"1050nm 50mm Diameter, OD 2 Shortpass Filter",64-674,$195,0 ,Traditional Coated ,1050.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1130 - 1370 ,40-20 ,5.00 ,±0.1 ,>85 ,485 - 1000 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,485 - 1370 
"1075nm 12.5mm Diameter, OD 2 Shortpass Filter",64-645,$89,0 ,Traditional Coated ,1075.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1160 - 1410 ,40-20 ,1.50 ,±0.1 ,>85 ,500 - 1025 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,500 - 1410 
"1075nm 25mm Diameter, OD 2 Shortpass Filter",64-652,$125,0 ,Traditional Coated ,1075.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1160 - 1410 ,40-20 ,3.00 ,±0.1 ,>85 ,500 - 1025 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,500 - 1410 
"1075nm 50mm Diameter, OD 2 Shortpass Filter",64-659,$195,0 ,Traditional Coated ,1075.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1160 - 1410 ,40-20 ,5.00 ,±0.1 ,>85 ,500 - 1025 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,500 - 1410 
"1100nm 12.5mm Diameter, OD 2 Shortpass Filter",47-824,$89,0 ,Traditional Coated ,1100.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1180 - 1440 ,40-20 ,1.50 ,±0.1 ,>85 ,510 - 1050 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,510 - 1440 
"1100nm 25mm Diameter, OD 2 Shortpass Filter",47-592,$125,0 ,Traditional Coated ,1100.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1180 - 1440 ,40-20 ,3.00 ,±0.1 ,>85 ,510 - 1050 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,510 - 1440 
"1100nm 50mm Diameter, OD 2 Shortpass Filter",64-675,$195,0 ,Traditional Coated ,1100.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1180 - 1440 ,40-20 ,5.00 ,±0.1 ,>85 ,510 - 1050 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,510 - 1440 
"1125nm 12.5mm Diameter, OD 2 Shortpass Filter",64-646,$89,0 ,Traditional Coated ,1125.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1210 - 1470 ,40-20 ,1.50 ,±0.1 ,>85 ,525 - 1075 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,525 - 1470 
"1125nm 25mm Diameter, OD 2 Shortpass Filter",64-653,$125,0 ,Traditional Coated ,1125.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1210 - 1470 ,40-20 ,3.00 ,±0.1 ,>85 ,525 - 1075 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,525 - 1470 
"1125nm 50mm Diameter, OD 2 Shortpass Filter",64-660,$195,0 ,Traditional Coated ,1125.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1210 - 1470 ,40-20 ,5.00 ,±0.1 ,>85 ,525 - 1075 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,525 - 1470 
"1150nm 12.5mm Diameter, OD 2 Shortpass Filter",67-285,$89,0 ,Traditional Coated ,1150.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1240 - 1510 ,40-20 ,1.50 ,±0.1 ,>85 ,525 - 1100 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,525 - 1510 
"1150nm 25mm Diameter, OD 2 Shortpass Filter",67-288,$125,0 ,Traditional Coated ,1150.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1240 - 1510 ,40-20 ,3.00 ,±0.1 ,>85 ,525 - 1100 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,525 - 1510 
"1150nm 50mm Diameter, OD 2 Shortpass Filter",67-291,$195,0 ,Traditional Coated ,1150.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1240 - 1510 ,40-20 ,5.00 ,±0.1 ,>85 ,525 - 1100 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,525 - 1510 
"1175nm 12.5mm Diameter, OD 2 Shortpass Filter",67-286,$89,0 ,Traditional Coated ,1175.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1265 - 1540 ,40-20 ,1.50 ,±0.1 ,>85 ,550 - 1125 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,550 - 1540 
"1175nm 25mm Diameter, OD 2 Shortpass Filter",67-289,$125,0 ,Traditional Coated ,1175.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1265 - 1540 ,40-20 ,3.00 ,±0.1 ,>85 ,550 - 1125 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,550 - 1540 
"1175nm 50mm Diameter, OD 2 Shortpass Filter",67-292,$195,0 ,Traditional Coated ,1175.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1265 - 1540 ,40-20 ,5.00 ,±0.1 ,>85 ,550 - 1125 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,550 - 1540 
"1200nm 12.5mm Diameter, OD 2 Shortpass Filter",67-287,$89,0 ,Traditional Coated ,1200.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1290 - 1575 ,40-20 ,1.50 ,±0.1 ,>85 ,550 - 1150 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,550 - 1575 
"1200nm 25mm Diameter, OD 2 Shortpass Filter",67-290,$125,0 ,Traditional Coated ,1200.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1290 - 1575 ,40-20 ,3.00 ,±0.1 ,>85 ,550 - 1150 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,550 - 1575 
"1200nm 50mm Diameter, OD 2 Shortpass Filter",67-293,$195,0 ,Traditional Coated ,1200.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1290 - 1575 ,40-20 ,5.00 ,±0.1 ,>85 ,550 - 1150 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,550 - 1575 
"1250nm 12.5mm Diameter, OD 2 Shortpass Filter",84-641,$89,0 ,Traditional Coated ,1250.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1340 - 1625 ,40-20 ,1.50 ,±0.1 ,>85 ,575 - 1200 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,575 - 1625 
"1250nm 25mm Diameter, OD 2 Shortpass Filter",84-649,$125,0 ,Traditional Coated ,1250.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1340 - 1625 ,40-20 ,3.00 ,±0.1 ,>85 ,575 - 1200 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,575 - 1625 
"1250nm 50mm Diameter, OD 2 Shortpass Filter",84-657,$195,0 ,Traditional Coated ,1250.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1340 - 1625 ,40-20 ,5.00 ,±0.1 ,>85 ,575 - 1200 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,575 - 1625 
"1300nm 12.5mm Diameter, OD 2 Shortpass Filter",84-642,$89,0 ,Traditional Coated ,1300.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1390 - 1675 ,40-20 ,1.50 ,±0.1 ,>85 ,600 - 1250 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,600 - 1675 
"1300nm 25mm Diameter, OD 2 Shortpass Filter",84-650,$125,0 ,Traditional Coated ,1300.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1390 - 1675 ,40-20 ,3.00 ,±0.1 ,>85 ,600 - 1250 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,600 - 1675 
"1300nm 50mm Diameter, OD 2 Shortpass Filter",84-658,$195,0 ,Traditional Coated ,1300.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1390 - 1675 ,40-20 ,5.00 ,±0.1 ,>85 ,600 - 1250 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,600 - 1675 
"1350nm 12.5mm Diameter, OD 2 Shortpass Filter",84-643,$89,0 ,Traditional Coated ,1350.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1440 - 1750 ,40-20 ,1.50 ,±0.1 ,>85 ,625 - 1300 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,625 - 1750 
"1350nm 25mm Diameter, OD 2 Shortpass Filter",84-651,$125,0 ,Traditional Coated ,1350.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1440 - 1750 ,40-20 ,3.00 ,±0.1 ,>85 ,625 - 1300 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,625 - 1750 
"1350nm 50mm Diameter, OD 2 Shortpass Filter",84-659,$195,0 ,Traditional Coated ,1350.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1440 - 1750 ,40-20 ,5.00 ,±0.1 ,>85 ,625 - 1300 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,625 - 1750 
"1400nm 12.5mm Diameter, OD 2 Shortpass Filter",84-644,$89,0 ,Traditional Coated ,1400.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1490 - 1800 ,40-20 ,1.50 ,±0.1 ,>85 ,660 - 1340 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,660 - 1800 
"1400nm 25mm Diameter, OD 2 Shortpass Filter",84-652,$125,0 ,Traditional Coated ,1400.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1490 - 1800 ,40-20 ,3.00 ,±0.1 ,>85 ,660 - 1340 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,660 - 1800 
"1400nm 50mm Diameter, OD 2 Shortpass Filter",84-660,$195,0 ,Traditional Coated ,1400.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1490 - 1800 ,40-20 ,5.00 ,±0.1 ,>85 ,660 - 1340 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,660 - 1800 
"1450nm 12.5mm Diameter, OD 2 Shortpass Filter",84-645,$89,0 ,Traditional Coated ,1450.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1550 - 1850 ,40-20 ,1.50 ,±0.1 ,>85 ,695 - 1390 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,695 - 1850 
"1450nm 25mm Diameter, OD 2 Shortpass Filter",84-653,$125,0 ,Traditional Coated ,1450.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1550 - 1850 ,40-20 ,3.00 ,±0.1 ,>85 ,695 - 1390 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,695 - 1850 
"1450nm 50mm Diameter, OD 2 Shortpass Filter",84-661,$195,0 ,Traditional Coated ,1450.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1550 - 1850 ,40-20 ,5.00 ,±0.1 ,>85 ,695 - 1390 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,695 - 1850 
"1500nm 12.5mm Diameter, OD 2 Shortpass Filter",84-646,$89,0 ,Traditional Coated ,1500.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1600 - 1910 ,40-20 ,1.50 ,±0.1 ,>85 ,725 - 1440 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,725 - 1910 
"1500nm 25mm Diameter, OD 2 Shortpass Filter",84-654,$125,0 ,Traditional Coated ,1500.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1600 - 1910 ,40-20 ,3.00 ,±0.1 ,>85 ,725 - 1440 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,725 - 1910 
"1500nm 50mm Diameter, OD 2 Shortpass Filter",84-662,$195,0 ,Traditional Coated ,1500.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1600 - 1910 ,40-20 ,5.00 ,±0.1 ,>85 ,725 - 1440 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,725 - 1910 
"1550nm 12.5mm Diameter, OD 2 Shortpass Filter",84-647,$89,0 ,Traditional Coated ,1550.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1650 - 1960 ,40-20 ,1.50 ,±0.1 ,>85 ,765 - 1490 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,765 - 1960 
"1550nm 25mm Diameter, OD 2 Shortpass Filter",84-655,$125,0 ,Traditional Coated ,1550.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1650 - 1960 ,40-20 ,3.00 ,±0.1 ,>85 ,765 - 1490 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,765 - 1960 
"1550nm 50mm Diameter, OD 2 Shortpass Filter",84-663,$195,0 ,Traditional Coated ,1550.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1650 - 1960 ,40-20 ,5.00 ,±0.1 ,>85 ,765 - 1490 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,765 - 1960 
"1600nm 12.5mm Diameter, OD 2 Shortpass Filter",84-648,$89,0 ,Traditional Coated ,1600.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1700 - 2025 ,40-20 ,1.50 ,±0.1 ,>85 ,810 - 1540 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,810 - 2025 
"1600nm 25mm Diameter , OD 2 Shortpass Filter",84-656,$125,0 ,Traditional Coated ,1600.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1700 - 2025 ,40-20 ,3.00 ,±0.1 ,>85 ,810 - 1540 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,810 - 2025 
"1600nm 50mm Diameter, OD 2 Shortpass Filter",84-664,$195,0 ,Traditional Coated ,1600.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1700 - 2025 ,40-20 ,5.00 ,±0.1 ,>85 ,810 - 1540 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,810 - 2025 
