Title,Stock Number,Price,AOI (°),Coating,Cut-Off Wavelength (nm),Dia. (mm),Substrate,Optical Density OD,Rejection Wavelength (nm),Surface Quality,Thickness (mm),Thickness Tolerance (mm),Transmission (%),Transmission Wavelength (nm),Type,CA (%),"Transmitted Wavefront, P-V",Slope Factor (%),Cut-Off Tolerance (%),Wavelength Range (nm)
"500nm 50mm Diameter, OD 2 Shortpass Filter",64-663,$195,0 ,Traditional Coated ,500.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,520 - 610 ,40-20 ,5.00 ,±0.1 ,>85 ,250 - 480 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,250 - 610 
"525nm 12.5mm Diameter, OD 2 Shortpass Filter",64-594,$89,0 ,Traditional Coated ,525.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,545 - 635 ,40-20 ,1.50 ,±0.1 ,>85 ,250 - 505 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,250 - 635 
"525nm 25mm Diameter, UV Enhanced OD 2 Shortpass Filter",64-602,$125,0 ,Traditional Coated ,525.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,545 - 635 ,40-20 ,3.00 ,±0.1 ,>85 ,250 - 505 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,250 - 635 
"525nm 50mm Diameter, UV Enhanced OD 2 Shortpass Filter",64-610,$195,0 ,Traditional Coated ,525.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,545 - 635 ,40-20 ,5.00 ,±0.1 ,>85 ,250 - 505 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,250 - 635 
"550nm 12.5mm Diameter, OD 2 Shortpass Filter",47-813,$89,0 ,Traditional Coated ,550.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,575 - 725 ,40-20 ,1.50 ,±0.1 ,>85 ,400 - 530 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 725 
"550nm 25mm Diameter, OD 2 Shortpass Filter",47-288,$125,0 ,Traditional Coated ,550.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,575 - 725 ,40-20 ,3.00 ,±0.1 ,>85 ,400 - 530 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 725 
"550nm 12.5mm Diameter, UV Enhanced OD 2 Shortpass Filter",49-160,$89,0 ,Traditional Coated ,550.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,575 - 665 ,40-20 ,1.50 ,±0.1 ,>85 ,250 - 530 ,Shortpass Filter ,,?/4 ,±3 ,±2 ,250 - 665 
"550nm 25mm Diameter, UV Enhanced OD 2 Shortpass Filter",49-161,$125,0 ,Traditional Coated ,550.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,575 - 665 ,40-20 ,3.00 ,±0.1 ,>85 ,250 - 530 ,Shortpass Filter ,,?/4 ,±3 ,±2 ,250 - 655 
"550nm 50mm Diameter, OD 2 Shortpass Filter",64-664,$195,0 ,Traditional Coated ,550.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,575 - 725 ,40-20 ,5.00 ,±0.1 ,>85 ,400 - 530 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 725 
"575nm 12.5mm Diameter, OD 2 Shortpass Filter",64-595,$89,0 ,Traditional Coated ,575.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,600 - 750 ,40-20 ,1.50 ,±0.1 ,>85 ,400 - 555 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 750 
"575nm 25mm Diameter, OD 2 Shortpass Filter",64-603,$125,0 ,Traditional Coated ,575.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,600 - 750 ,40-20 ,3.00 ,±0.1 ,>85 ,400 - 555 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 750 
"575nm 50mm Diameter, OD 2 Shortpass Filter",64-611,$195,0 ,Traditional Coated ,575.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,600 - 750 ,40-20 ,5.00 ,±0.1 ,>85 ,400 - 555 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 750 
"600nm 12.5mm Diameter, OD 2 Shortpass Filter",47-814,$89,0 ,Traditional Coated ,600.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,625 - 795 ,40-20 ,1.50 ,±0.1 ,>85 ,400 - 580 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 795 
"600nm 25mm Diameter, OD 2 Shortpass Filter",47-289,$125,0 ,Traditional Coated ,600.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,625 - 795 ,40-20 ,3.00 ,±0.1 ,>85 ,400 - 580 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 795 
"600nm 50mm Diameter, OD 2 Shortpass Filter",64-665,$195,0 ,Traditional Coated ,600.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,625 - 795 ,40-20 ,5.00 ,±0.1 ,>85 ,400 - 580 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 795 
"625nm 12.5mm Diameter, OD 2 Shortpass Filter",64-596,$89,0 ,Traditional Coated ,625.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,650 - 820 ,40-20 ,1.50 ,±0.1 ,>85 ,400 - 605 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 820 
"625nm 25mm Diameter, OD 2 Shortpass Filter",64-604,$125,0 ,Traditional Coated ,625.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,650 - 820 ,40-20 ,3.00 ,±0.1 ,>85 ,400 - 605 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 820 
"625nm 50mm Diameter, OD 2 Shortpass Filter",64-612,$195,0 ,Traditional Coated ,625.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,650 - 820 ,40-20 ,5.00 ,±0.1 ,>85 ,400 - 605 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 820 
"650nm 12.5mm Diameter, OD 2 Shortpass Filter",47-815,$89,0 ,Traditional Coated ,650.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,675 - 850 ,40-20 ,1.50 ,±0.1 ,>85 ,400 - 630 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 850 
"650nm 25mm Diameter, OD 2 Shortpass Filter",47-290,$125,0 ,Traditional Coated ,650.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,675 - 850 ,40-20 ,3.00 ,±0.1 ,>85 ,400 - 630 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 850 
"650nm 50mm Diameter, OD 2 Shortpass Filter",64-666,$195,0 ,Traditional Coated ,650.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,675 - 850 ,40-20 ,5.00 ,±0.1 ,>85 ,400 - 630 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 850 
"675nm 12.5mm Diameter, OD 2 Shortpass Filter",64-597,$89,0 ,Traditional Coated ,675.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,700 - 875 ,40-20 ,1.50 ,±0.1 ,>85 ,400 - 655 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 875 
