Title,Stock Number,Price,AOI (°),Coating,Cut-Off Wavelength (nm),Dia. (mm),Substrate,Optical Density OD,Rejection Wavelength (nm),Surface Quality,Thickness (mm),Thickness Tolerance (mm),Transmission (%),Transmission Wavelength (nm),Type,CA (%),Durability,"Transmitted Wavefront, RMS",Slope Factor (%),Cut-Off Tolerance (%),Wavelength Range (nm),Manufacturer
"475nm 12.5mm Diameter, OD 4 Shortpass Filter ",84-692,$150,0.00 ,Hard Coated ,475.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,485 - 685 ,60-40 ,1.50 ,±0.1 ,?91 ,300 - 466 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 685 ,EO 
"475nm 25mm Diameter, OD 4 Shortpass Filter",84-705,$220,0.00 ,Hard Coated ,475.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,485 - 685 ,60-40 ,3.00 ,±0.1 ,?91 ,300 - 466 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 685 ,EO 
"475nm 50mm Diameter, OD 4 Shortpass Filter",84-718,$450,0.00 ,Hard Coated ,475.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,485 - 685 ,60-40 ,5.00 ,±0.1 ,?91 ,300 - 466 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 685 ,EO 
"500nm 12.5mm Diameter, OD 4 Shortpass Filter ",84-693,$150,0.00 ,Hard Coated ,500.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,512 - 715 ,60-40 ,1.50 ,±0.1 ,?91 ,300 - 490 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 715 ,EO 
"500nm 25mm Diameter, OD 4 Shortpass Filter ",84-706,$220,0.00 ,Hard Coated ,500.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,512 - 715 ,60-40 ,3.00 ,±0.1 ,?91 ,300 - 490 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 715 ,EO 
"500nm 50mm Diameter, OD 4 Shortpass Filter",84-719,$450,0.00 ,Hard Coated ,500.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,512 - 715 ,60-40 ,5.00 ,±0.1 ,?91 ,300 - 490 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 715 ,EO 
"525nm 12.5mm Diameter, OD 4 Shortpass Filter",84-694,$150,0.00 ,Hard Coated ,525.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,537 - 740 ,60-40 ,1.50 ,±0.1 ,?91 ,300 - 515 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 740 ,EO 
"525nm 25mm Diameter, OD 4 Shortpass Filter ",84-707,$220,0.00 ,Hard Coated ,525.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,537 - 740 ,60-40 ,3.00 ,±0.1 ,?91 ,300 - 515 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 740 ,EO 
"525nm 50mm Diameter, OD 4 Shortpass Filter ",84-720,$450,0.00 ,Hard Coated ,525.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,537 - 740 ,60-40 ,5.00 ,±0.1 ,?91 ,300 - 515 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,300 - 740 ,EO 
"550nm 12.5mm Diameter, OD 4 Shortpass Filter ",84-695,$150,0.00 ,Hard Coated ,550.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,562 - 825 ,60-40 ,1.50 ,±0.1 ,?91 ,350 - 539 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 825 ,EO 
"550nm 25mm Diameter, OD 4 Shortpass Filter ",84-708,$220,0.00 ,Hard Coated ,550.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,562 - 825 ,60-40 ,3.00 ,±0.1 ,?91 ,350 - 539 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 825 ,EO 
"550nm 50mm Diameter, OD 4 Shortpass Filter",84-721,$450,0.00 ,Hard Coated ,550.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,562 - 825 ,60-40 ,5.00 ,±0.1 ,?91 ,350 - 539 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 825 ,EO 
"575nm 12.5mm Diameter, OD 4 Shortpass Filter",84-696,$150,0.00 ,Hard Coated ,575.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,587 - 850 ,60-40 ,1.50 ,±0.1 ,?91 ,350 - 564 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 850 ,EO 
"575nm 25mm Diameter, OD 4 Shortpass Filter ",84-709,$220,0.00 ,Hard Coated ,575.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,587 - 850 ,60-40 ,3.00 ,±0.1 ,?91 ,350 - 564 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 850 ,EO 
"575nm 50mm Diameter, OD 4 Shortpass Filter ",84-722,$450,0.00 ,Hard Coated ,575.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,587 - 850 ,60-40 ,5.00 ,±0.1 ,?91 ,350 - 564 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 850 ,EO 
"600nm 12.5mm Diameter, OD 4 Shortpass Filter ",84-697,$150,0.00 ,Hard Coated ,600.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,614 - 900 ,60-40 ,1.50 ,±0.1 ,?91 ,350 - 587 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 900 ,EO 
"600nm 25mm Diameter, OD 4 Shortpass Filter ",84-710,$220,0.00 ,Hard Coated ,600.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,614 - 900 ,60-40 ,3.00 ,±0.1 ,?91 ,350 - 587 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 900 ,EO 
"600nm 50mm Diameter, OD 4 Shortpass Filter",84-723,$450,0.00 ,Hard Coated ,600.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,614 - 900 ,60-40 ,5.00 ,±0.1 ,?91 ,350 - 587 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 900 ,EO 
"625nm 12.5mm Diameter, OD 4 Shortpass Filter ",84-698,$150,0.00 ,Hard Coated ,625.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,639 - 925 ,60-40 ,1.50 ,±0.1 ,?91 ,350 - 612 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 925 ,EO 
"625nm 25mm Diameter, OD 4 Shortpass Filter ",84-711,$220,0.00 ,Hard Coated ,625.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,639 - 925 ,60-40 ,3.00 ,±0.1 ,?91 ,350 - 612 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 925 ,EO 
"625nm 50mm Diameter, OD 4 Shortpass Filter ",84-724,$450,0.00 ,Hard Coated ,625.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,639 - 925 ,60-40 ,5.00 ,±0.1 ,?91 ,350 - 612 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 925 ,EO 
"650nm 12.5mm Diameter, OD 4 Shortpass Filter ",84-699,$150,0.00 ,Hard Coated ,650.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,665 - 960 ,60-40 ,1.50 ,±0.1 ,?91 ,350 - 636 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 960 ,EO 
"650nm 25mm Diameter, OD 4 Shortpass Filter",84-712,$220,0.00 ,Hard Coated ,650.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,665 - 960 ,60-40 ,3.00 ,±0.1 ,?91 ,350 - 636 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 960 ,EO 
"650nm 50mm Diameter, OD 4 Shortpass Filter",84-725,$450,0.00 ,Hard Coated ,650.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,665 - 960 ,60-40 ,5.00 ,±0.1 ,?91 ,350 - 636 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 960 ,EO 
"675nm 12.5mm Diameter, OD 4 Shortpass Filter",84-700,$150,0.00 ,Hard Coated ,675.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,690 - 1000 ,60-40 ,1.50 ,±0.1 ,?91 ,350 - 661 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 1000 ,EO 
"675nm 25mm Diameter, OD 4 Shortpass Filter",84-713,$220,0.00 ,Hard Coated ,675.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,690 - 1000 ,60-40 ,3.00 ,±0.1 ,?91 ,350 - 661 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 1000 ,EO 
"675nm 50mm Diameter, OD 4 Shortpass Filter ",84-726,$450,0.00 ,Hard Coated ,675.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,690 - 1000 ,60-40 ,5.00 ,±0.1 ,?91 ,350 - 661 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,350 - 1000 ,EO 
"700nm 12.5mm Diameter, OD 4 Shortpass Filter ",84-701,$150,0.00 ,Hard Coated ,700.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,715 - 1050 ,60-40 ,1.50 ,±0.1 ,?91 ,400 - 685 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1050 ,EO 
"700nm 25mm Diameter, OD 4 Shortpass Filter ",84-714,$220,0.00 ,Hard Coated ,700.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,715 - 1050 ,60-40 ,3.00 ,±0.1 ,?91 ,400 - 685 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1050 ,EO 
"700nm 50mm Diameter, OD 4 Shortpass Filter ",84-727,$450,0.00 ,Hard Coated ,700.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,715 - 1050 ,60-40 ,5.00 ,±0.1 ,?91 ,400 - 685 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1050 ,EO 
"725nm 12.5mm Diameter, OD 4 Shortpass Filter",86-095,$150,0.00 ,Hard Coated ,725.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,740 - 1090 ,60-40 ,1.50 ,±0.1 ,?91 ,400 - 710 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1090 ,EO 
"725nm 25mm Diameter, OD 4 Shortpass Filter",86-103,$220,0.00 ,Hard Coated ,725.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,740 - 1090 ,60-40 ,3.00 ,±0.1 ,?91 ,400 - 710 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1090 ,EO 
"725nm 50mm Diameter, OD 4 Shortpass Filter",86-111,$450,0.00 ,Hard Coated ,725.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,740 - 1090 ,60-40 ,5.00 ,±0.1 ,?91 ,400 - 710 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1090 ,EO 
"750nm 12.5mm Diameter, OD 4 Shortpass Filter",64-324,$150,0.00 ,Hard Coated ,750.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,775 - 1125 ,60-40 ,1.50 ,±0.1 ,?91 ,400 - 740 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1125 ,EO 
"750nm 25mm Diameter, OD 4 Shortpass Filter",64-332,$220,0.00 ,Hard Coated ,750.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,775 - 1125 ,60-40 ,3.00 ,±0.1 ,?91 ,400 - 740 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1125 ,EO 
