Title,Stock Number,Price,CA (mm),Coating,Dia. (mm),Filter Thread,Substrate,Optical Density OD,Transmission (%),Type,Blocking Wavelength Range (nm),Stock No. of Unmounted Filter,Mount Thickness (mm)
"700-1200nm OD 0.5, M25.5 x 0.5 Non-Reflective ND Filter",66-730,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,0.5 ,32.00 ,Neutral Density Filter ,700 - 1200 ,#63-407 ,9.9 
"700-1200nm OD 0.6, M25.5 x 0.5 Non-Reflective ND Filter",66-731,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,0.6 ,25.00 ,Neutral Density Filter ,700 - 1200 ,#63-408 ,9.9 
"700-1200nm OD 0.9, M25.5 x 0.5 Non-Reflective ND Filter",66-732,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,0.9 ,12.50 ,Neutral Density Filter ,700 - 1200 ,#63-409 ,9.9 
"700-1200nm OD 1.0, M25.5 x 0.5 Non-Reflective ND Filter",66-733,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,1.0 ,10.00 ,Neutral Density Filter ,700 - 1200 ,#63-410 ,9.9 
"700-1200nm OD 1.3, M25.5 x 0.5 Non-Reflective ND Filter",66-734,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,1.3 ,5.00 ,Neutral Density Filter ,700 - 1200 ,#63-411 ,9.9 
"700-1200nm OD 1.5, M25.5 x 0.5 Non-Reflective ND Filter",66-735,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,1.5 ,3.20 ,Neutral Density Filter ,700 - 1200 ,#63-412 ,9.9 
"700-1200nm OD 2.0, M25.5 x 0.5 Non-Reflective ND Filter",66-736,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,2.0 ,1.00 ,Neutral Density Filter ,700 - 1200 ,#63-413 ,9.9 
"700-1200nm OD 2.5, M25.5 x 0.5 Non-Reflective ND Filter",66-737,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,2.5 ,0.30 ,Neutral Density Filter ,700 - 1200 ,#63-414 ,9.9 
"700-1200nm OD 3.0, M25.5 x 0.5 Non-Reflective ND Filter",66-738,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,3.0 ,0.10 ,Neutral Density Filter ,700 - 1200 ,#63-415 ,9.9 
"700-1200nm OD 0.3, M30.5 x 0.5 Non-Reflective ND Filter",66-739,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,0.3 ,50.00 ,Neutral Density Filter ,700 - 1200 ,#63-406 ,9.2 
"700-1200nm OD 0.5, M30.5 x 0.5 Non-Reflective ND Filter",66-740,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,0.5 ,32.00 ,Neutral Density Filter ,700 - 1200 ,#63-407 ,9.2 
"700-1200nm OD 0.6, M30.5 x 0.5 Non-Reflective ND Filter",66-741,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,0.6 ,25.00 ,Neutral Density Filter ,700 - 1200 ,#63-408 ,9.2 
"700-1200nm OD 0.9, M30.5 x 0.5 Non-Reflective ND Filter",66-742,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,0.9 ,12.50 ,Neutral Density Filter ,700 - 1200 ,#63-409 ,9.2 
"700-1200nm OD 1.0, M30.5 x 0.5 Non-Reflective ND Filter",66-743,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,1.0 ,10.00 ,Neutral Density Filter ,700 - 1200 ,#63-140 ,9.2 
"700-1200nm OD 1.3, M30.5 x 0.5 Non-Reflective ND Filter",66-744,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,1.3 ,5.00 ,Neutral Density Filter ,700 - 1200 ,#63-411 ,9.2 
"700-1200nm OD 1.5, M30.5 x 0.5 Non-Reflective ND Filter",66-745,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,1.5 ,3.20 ,Neutral Density Filter ,700 - 1200 ,#63-412 ,9.2 
"700-1200nm OD 2.0, M30.5 x 0.5 Non-Reflective ND Filter",66-746,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,2.0 ,1.00 ,Neutral Density Filter ,700 - 1200 ,#63-413 ,9.2 
"700-1200nm OD 2.5, M30.5 x 0.5 Non-Reflective ND Filter",66-747,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,2.5 ,0.30 ,Neutral Density Filter ,700 - 1200 ,#63-414 ,9.2 
"700-1200nm OD 3.0, M30.5 x 0.5 Non-Reflective ND Filter",66-748,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,3.0 ,0.10 ,Neutral Density Filter ,700 - 1200 ,#63-415 ,9.2 
