Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Angle Sensitivity,Coating,Construction,Mount Thickness (mm),Operating Temperature (°C),Thickness Tolerance (mm),Type,Typical Applications
"254nm CWL, 40nm FWHM, 25mm Mounted Diameter",67-809,$209,25.00 +0.00/-0.25,254 ,+10.0/-0.0 ,40.00 ,±8 ,>20 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"254nm CWL, 40nm FWHM, 50mm Mounted Diameter",67-876,$399,50.00 +0.00/-0.25,254 ,+10.0/-0.0 ,40.00 ,±8 ,>20 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"260nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-743,$135,12.50 +0.00/-0.25,260 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"260nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-810,$209,25.00 +0.00/-0.25,260 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"260nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-877,$399,50.00 +0.00/-0.25,260 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"265nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-744,$135,12.50 +0.00/-0.25,265 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"265nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-811,$209,25.00 +0.00/-0.25,265 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"265nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-878,$399,50.00 +0.00/-0.25,265 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"270nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-745,$135,12.50 +0.00/-0.25,270 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"270nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-812,$209,25.00 +0.00/-0.25,270 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"270nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-879,$399,50.00 +0.00/-0.25,270 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"280nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-746,$135,12.50 +0.00/-0.25,280 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"280nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-813,$209,25.00 +0.00/-0.25,280 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"280nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-880,$399,50.00 +0.00/-0.25,280 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"289nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-747,$135,12.50 +0.00/-0.25,289 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"289nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-814,$209,25.00 +0.00/-0.25,289 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"289nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-881,$399,50.00 +0.00/-0.25,289 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"297nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-748,$135,12.50 +0.00/-0.25,297 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
