Title,Stock Number,Price,AOI (°),Coating,Cut-Off Wavelength (nm),Dia. (mm),Substrate,P-Polarization Transmission (%),Reflection (%),Reflection Wavelength (nm),S-Polarization Transmission (%),Dimensions (mm),Surface Quality,Thickness (mm),Thickness Tolerance (mm),Transmission (%),Transmission Wavelength (nm),Type,Dimensional Tolerance (mm),"Transmitted Wavefront, RMS",Slope Factor (%),Cut-Off Tolerance (%),S-Polarization Reflection (%),P-Polarization Reflection (%),Coating Specification,Wavelength Range (nm)
"700nm, 25mm Diameter, Dichroic Shortpass Filter",69-206,$135,45 ,Hard Coated ,700 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,725 - 900 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 680 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 900 
"750nm, 25mm Diameter, Dichroic Shortpass Filter",69-207,$135,45 ,Hard Coated ,750 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,800 - 990 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 725 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 990 
"800nm, 25mm Diameter, Dichroic Shortpass Filter",69-208,$135,45 ,Hard Coated ,800 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,850 - 1050 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 775 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 1050 
"850nm, 25mm Diameter, Dichroic Shortpass Filter",69-209,$135,45 ,Hard Coated ,850 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,910 - 1110 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 820 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 1110 
"900nm, 25mm Diameter, Dichroic Shortpass Filter",69-210,$135,45 ,Hard Coated ,900 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,960 - 1170 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,465 - 865 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,465 - 1170 
"400nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",69-212,$135,45 ,Hard Coated ,400 ,,Fused Silica ,>80 ,>97 Average Polarization ,420 - 485 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,325 - 385 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,325 - 485 
"450nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",69-213,$135,45 ,Hard Coated ,450 ,,Fused Silica ,>80 ,>97 Average Polarization ,470 - 545 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,325 - 430 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,325 - 545 
"500nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",69-214,$135,45 ,Hard Coated ,500 ,,Fused Silica ,>80 ,>97 Average Polarization ,520 - 610 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,325 - 480 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,325 - 610 
"550nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",69-215,$135,45 ,Hard Coated ,550 ,,Fused Silica ,>80 ,>97 Average Polarization ,575 - 725 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 530 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 725 
"600nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",69-216,$135,45 ,Hard Coated ,600 ,,Fused Silica ,>80 ,>97 Average Polarization ,625 - 795 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,400 - 580 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,3.00 ,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,400 - 795 
