Title,Stock Number,Price,AOI (°),CA (mm),Coating,Cut-Off Wavelength (nm),Cut-On Wavelength (nm),Dia. (mm),Filter Thread,Substrate,Optical Density OD,Rejection Wavelength (nm),Thickness with Mount (mm),Surface Quality,Transmission (%),Transmission Wavelength (nm),Type,Stock No. of Unmounted Filter,Slope Factor (%),Cut-Off Tolerance (%),Coating Specification,Wavelength Range (nm)
550nm M25.5 x 0.5 Mounted Longpass Filter,66-672,$125,,22.0 ,Traditional Coated ,,550.00 ,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,415 - 515 ,9.9 ,40-20 ,>85 ,575 - 2000 ,Mounted Imaging Filter ,#47-617 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,415 - 2000 
600nm M25.5 x 0.5 Mounted Longpass Filter,66-673,$125,,22.0 ,Traditional Coated ,,600.00 ,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,460 - 570 ,9.9 ,40-20 ,>85 ,625 - 2000 ,Mounted Imaging Filter ,#47-618 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,460 - 2000 
650nm M25.5 x 0.5 Mounted Longpass Filter,66-674,$125,,22.0 ,Traditional Coated ,,650.00 ,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,495 - 610 ,9.9 ,40-20 ,>85 ,675 - 2000 ,Mounted Imaging Filter ,#47-619 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,495 - 2000 
700nm M25.5 x 0.5 Mounted Longpass Filter,66-675,$125,,22.0 ,Traditional Coated ,,700.00 ,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,535 - 660 ,9.9 ,40-20 ,>85 ,725 - 2000 ,Mounted Imaging Filter ,#47-620 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,535 - 2000 
750nm M25.5 x 0.5 Mounted Longpass Filter,66-676,$125,,22.0 ,Traditional Coated ,,750.00 ,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,565 - 715 ,9.9 ,40-20 ,>85 ,780 - 2000 ,Mounted Imaging Filter ,#48-558 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,565 - 2000 
800nm M25.5 x 0.5 Mounted Longpass Filter,66-677,$125,,22.0 ,Traditional Coated ,,800.00 ,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,600 - 760 ,9.9 ,40-20 ,>85 ,830 - 2000 ,Mounted Imaging Filter ,#48-559 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,600 - 2000 
850nm M25.5 x 0.5 Mounted Longpass Filter,66-678,$125,,22.0 ,Traditional Coated ,,850.00 ,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,635 - 805 ,9.9 ,40-20 ,>85 ,880 - 2000 ,Mounted Imaging Filter ,#48-560 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,635 - 2000 
900nm M25.5 x 0.5 Mounted Longpass Filter,66-679,$125,,22.0 ,Traditional Coated ,,900.00 ,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,675 - 855 ,9.9 ,40-20 ,>85 ,935 - 2000 ,Mounted Imaging Filter ,#48-561 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,675 - 2000 
950nm M25.5 x 0.5 Mounted Longpass Filter,66-680,$125,,22.0 ,Traditional Coated ,,950.00 ,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,715 - 900 ,9.9 ,40-20 ,>85 ,985 - 2000 ,Mounted Imaging Filter ,#48-562 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,715 - 2000 
1100nm M25.5 x 0.5 Mounted Longpass Filter,66-683,$125,,22.0 ,Traditional Coated ,,1100.00 ,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,825 - 1045 ,9.9 ,40-20 ,>85 ,1135 - 2000 ,Mounted Imaging Filter ,#48-565 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,825 - 2000 
400nm M30.5 x 0.5 Mounted Longpass Filter,66-684,$125,,22.0 ,Traditional Coated ,,400.00 ,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,200 - 375 ,9.2 ,40-20 ,>85 ,420 - 2000 ,Mounted Imaging Filter ,#47-614 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,200 - 2000 
450nm M30.5 x 0.5 Mounted Longpass Filter,66-685,$125,,22.0 ,Traditional Coated ,,450.00 ,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,200 - 430 ,9.2 ,40-20 ,>85 ,470 - 2000 ,Mounted Imaging Filter ,#47-615 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,200 - 2000 
500nm M30.5 x 0.5 Mounted Longpass Filter,66-686,$125,,22.0 ,Traditional Coated ,,500.00 ,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,200 - 480 ,9.2 ,40-20 ,>85 ,520 - 2000 ,Mounted Imaging Filter ,#47-616 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,200 - 2000 
550nm M30.5 x 0.5 Mounted Longpass Filter,66-687,$125,,22.0 ,Traditional Coated ,,550.00 ,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,415 - 515 ,9.2 ,40-20 ,>85 ,575 - 2000 ,Mounted Imaging Filter ,#47-617 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,415 - 2000 
600nm M30.5 x 0.5 Mounted Longpass Filter,66-688,$125,,22.0 ,Traditional Coated ,,600.00 ,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,460 - 570 ,9.2 ,40-20 ,>85 ,625 - 2000 ,Mounted Imaging Filter ,#47-618 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,460 - 2000 
650nm M30.5 x 0.5 Mounted Longpass Filter,66-689,$125,,22.0 ,Traditional Coated ,,650.00 ,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,495 - 610 ,9.2 ,40-20 ,>85 ,675 - 2000 ,Mounted Imaging Filter ,#47-619 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,495 - 2000 
700nm M30.5 x 0.5 Mounted Longpass Filter,66-690,$125,,22.0 ,Traditional Coated ,,700.00 ,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,535 - 660 ,9.2 ,40-20 ,>85 ,725 - 2000 ,Mounted Imaging Filter ,#47-620 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,535 - 2000 
750nm M30.5 x 0.5 Mounted Longpass Filter,66-691,$125,,22.0 ,Traditional Coated ,,750.00 ,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,565 - 715 ,9.2 ,40-20 ,>85 ,780 - 2000 ,Mounted Imaging Filter ,#48-558 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,565 - 2000 
800nm M30.5 x 0.5 Mounted Longpass Filter,66-692,$125,,22.0 ,Traditional Coated ,,800.00 ,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,600 - 760 ,9.2 ,40-20 ,>85 ,830 - 2000 ,Mounted Imaging Filter ,#48-559 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,600 - 2000 
850nm M30.5 x 0.5 Mounted Longpass Filter,66-693,$125,,22.0 ,Traditional Coated ,,850.00 ,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,635 - 805 ,9.2 ,40-20 ,>85 ,880 - 2000 ,Mounted Imaging Filter ,#48-560 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,635 - 2000 
900nm M30.5 x 0.5 Mounted Longpass Filter,66-694,$125,,22.0 ,Traditional Coated ,,900.00 ,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,675 - 855 ,9.2 ,40-20 ,>85 ,935 - 2000 ,Mounted Imaging Filter ,#48-561 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,675 - 2000 
950nm M30.5 x 0.5 Mounted Longpass Filter,66-695,$125,,22.0 ,Traditional Coated ,,950.00 ,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,715 - 900 ,9.2 ,40-20 ,>85 ,985 - 2000 ,Mounted Imaging Filter ,#48-562 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,715 - 2000 
