Title,Stock Number,Price,Dia. (mm),Cut-On Wavelength (nm),Rejection Wavelength (nm),Transmission Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),Wavelength Range (nm),AOI (°),Coating,Substrate,Optical Density OD,Surface Quality,Transmission (%),Type,CA (%),"Transmitted Wavefront, P-V",Cut-On Tolerance (%),Slope Factor (%),Coating Specification
"800nm 50mm Diameter, OD 2 Longpass Filter",64-705,$195,50.00 +0.00/-0.20,800 ,600 - 760 ,830 - 2000 ,5.00 ,±0.1 ,600 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"825nm 12.5mm Diameter, OD 2 Longpass Filter",64-676,$89,12.50 +0.00/-0.20,825 ,625 - 785 ,855 - 2000 ,1.50 ,±0.1 ,625 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"825nm 25mm Diameter, OD 2 Longpass Filter",64-683,$125,25.00 +0.00/-0.20,825 ,625 - 785 ,855 - 2000 ,3.00 ,±0.1 ,625 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"825nm 50mm Diameter, OD 2 Longpass Filter",64-690,$195,50.00 +0.00/-0.20,825 ,625 - 785 ,855 - 2000 ,5.00 ,±0.1 ,625 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"850nm 12.5mm Diameter, OD 2 Longpass Filter",49-033,$89,12.50 +0.00/-0.20,850 ,635 - 805 ,880 - 2000 ,1.50 ,±0.1 ,635 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"850nm 25.0mm Diameter, OD 2 Longpass Filter",48-560,$125,25.00 +0.00/-0.20,850 ,635 - 805 ,880 - 2000 ,3.00 ,±0.1 ,635 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"850nm 50mm Diameter, OD 2 Longpass Filter",64-706,$195,50.00 +0.00/-0.20,850 ,635 - 805 ,880 - 2000 ,5.00 ,±0.1 ,635 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"875nm 12.5mm Diameter, OD 2 Longpass Filter",64-677,$89,12.50 +0.00/-0.20,875 ,660 - 830 ,910 - 2000 ,1.50 ,±0.1 ,660 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"875nm 25mm Diameter, OD 2 Longpass Filter",64-684,$125,25.00 +0.00/-0.20,875 ,660 - 830 ,910 - 2000 ,3.00 ,±0.1 ,660 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"875nm 50mm Diameter, OD 2 Longpass Filter",64-691,$195,50.00 +0.00/-0.20,875 ,660 - 830 ,910 - 2000 ,5.00 ,±0.1 ,660 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"900nm 12.5mm Diameter, OD 2 Longpass Filter",49-034,$89,12.50 +0.00/-0.20,900 ,675 - 855 ,935 - 2000 ,1.50 ,±0.1 ,675 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"900nm 25.0mm Diameter, OD 2 Longpass Filter",48-561,$125,25.00 +0.00/-0.20,900 ,675 - 855 ,935 - 2000 ,3.00 ,±0.1 ,675 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"900nm 50mm Diameter, OD 2 Longpass Filter",64-707,$195,50.00 +0.00/-0.20,900 ,675 - 855 ,935 - 2000 ,5.00 ,±0.1 ,675 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"925nm 12.5mm Diameter, OD 2 Longpass Filter",64-678,$89,12.50 +0.00/-0.20,925 ,700 - 880 ,960 - 2000 ,1.50 ,±0.1 ,700 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"925nm 25mm Diameter, OD 2 Longpass Filter",64-685,$125,25.00 +0.00/-0.20,925 ,700 - 880 ,960 - 2000 ,3.00 ,±0.1 ,700 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"925nm 50mm Diameter, OD 2 Longpass Filter",64-692,$195,50.00 +0.00/-0.20,925 ,700 - 880 ,960 - 2000 ,5.00 ,±0.1 ,700 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"950nm 12.5mm Diameter, OD 2 Longpass Filter",49-035,$89,12.50 +0.00/-0.20,950 ,715 - 900 ,985 - 2000 ,1.50 ,±0.1 ,715 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"950nm 25.0mm Diameter, OD 2 Longpass Filter",48-562,$125,25.00 +0.00/-0.20,950 ,715 - 900 ,985 - 2000 ,3.00 ,±0.1 ,715 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"950nm 50mm Diameter, OD 2 Longpass Filter",64-708,$195,50.00 +0.00/-0.20,950 ,715 - 900 ,985 - 2000 ,5.00 ,±0.1 ,715 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"975nm 12.5mm Diameter, OD 2 Longpass Filter",64-679,$89,12.50 +0.00/-0.20,975 ,735 - 925 ,1010 - 2000 ,1.50 ,±0.1 ,735 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"975nm 25mm Diameter, OD 2 Longpass Filter",64-686,$125,25.00 +0.00/-0.20,975 ,735 - 925 ,1010 - 2000 ,3.00 ,±0.1 ,735 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"975nm 50mm Diameter, OD 2 Longpass Filter",64-693,$195,50.00 +0.00/-0.20,975 ,735 - 925 ,1010 - 2000 ,5.00 ,±0.1 ,735 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1000nm 12.5mm Diameter, OD 2 Longpass Filter",49-036,$89,12.50 +0.00/-0.20,1000 ,750 - 950 ,1035 - 2000 ,1.50 ,±0.1 ,750 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1000nm 25.0mm Diameter, OD 2 Longpass Filter",48-563,$125,25.00 +0.00/-0.20,1000 ,750 - 950 ,1035 - 2000 ,3.00 ,±0.1 ,750 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1000nm 50mm Diameter, OD 2 Longpass Filter",64-709,$195,50.00 +0.00/-0.20,1000 ,750 - 950 ,1035 - 2000 ,5.00 ,±0.1 ,750 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1025nm 12.5mm Diameter, OD 2 Longpass Filter",64-680,$89,12.50 +0.00/-0.20,1025 ,780 - 975 ,1060 - 2000 ,1.50 ,±0.1 ,780 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1025nm 25mm Diameter, OD 2 Longpass Filter",64-687,$125,25.00 +0.00/-0.20,1025 ,780 - 975 ,1060 - 2000 ,3.00 ,±0.1 ,780 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"1025nm 50mm Diameter, OD 2 Longpass Filter",64-694,$195,50.00 +0.00/-0.20,1025 ,780 - 975 ,1060 - 2000 ,5.00 ,±0.1 ,780 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
