Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Compatible Fluorophore,Optical Density OD,CA (mm),Surface Quality,Coating,Durability,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Type
"575nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-802,$495,50.00 +0.0/-0.1,575.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"Bo-Pro 3, KFP-Red ",?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"600nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-644,$130,12.50 +0.0/-0.1,600.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"Hexidium Iodide, Suncoast Yellow ",?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"600nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-656,$205,25.00 +0.0/-0.1,600.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"Hexidium Iodide, Suncoast Yellow ",?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"600nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-668,$495,50.00 +0.0/-0.1,600.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"Hexidium Iodide, Suncoast Yellow ",?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"625nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-779,$130,12.50 +0.0/-0.1,625.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"ATTO 633, SYTO 59, HCS CellMask Red cytoplasmic ",?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"625nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-791,$205,25.00 +0.0/-0.1,625.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"ATTO 633, SYTO 59, HCS CellMask Red cytoplasmic ",?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"625nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-803,$495,50.00 +0.0/-0.1,625.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"ATTO 633, SYTO 59, HCS CellMask Red cytoplasmic ",?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"650nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-645,$130,12.50 +0.0/-0.1,650.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"Alexa Fluor® 647, SpectrumFRed, SYTO 60, ChlorophyllA ",?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"650nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-657,$205,25.00 +0.0/-0.1,650.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"Alexa Fluor® 647, SpectrumFRed, SYTO 60, ChlorophyllA ",?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"650nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-669,$495,50.00 +0.0/-0.1,650.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,"Alexa Fluor® 647, SpectrumFRed, SYTO 60, ChlorophyllA ",?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"675nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-780,$130,12.50 +0.0/-0.1,675.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,DY-675 ,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"675nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-792,$205,25.00 +0.0/-0.1,675.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,DY-675 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"675nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-804,$495,50.00 +0.0/-0.1,675.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,DY-675 ,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"700nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-646,$130,12.50 +0.0/-0.1,700.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,ATTO 680 Emission ,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"700nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-658,$205,25.00 +0.0/-0.1,700.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,ATTO 680 Emission ,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"700nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-670,$495,50.00 +0.0/-0.1,700.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,ATTO 680 Emission ,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"725nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-781,$130,12.50 +0.0/-0.1,725.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,FM 4-64 Emission ,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"725nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-793,$205,25.00 +0.0/-0.1,725.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,FM 4-64 Emission ,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
