"","name","price","nm.FWHM","nm.CWL"
"420","390nm CWL, 25mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",260,45,390
"421","390nm CWL, 50mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",675,45,390
"422","435nm CWL, 12.5mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",195,48,435
"423","435nm CWL, 25mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",260,48,435
"424","435nm CWL, 50mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",675,48,435
"425","438nm CWL, 12.5mm Dia, 24nm Bandwidth, OD 6 Fluorescence Filter",195,28,438
"426","438nm CWL, 25mm Dia, 24nm Bandwidth, OD 6 Fluorescence Filter",260,28,438
"427","438nm CWL, 50mm Dia, 24nm Bandwidth, OD 6 Fluorescence Filter",675,28,438
"428","440nm CWL, 12.5mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",195,46,440
"429","440nm CWL, 25mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",260,46,440
"430","440nm CWL, 50mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",675,46,440
"431","447nm CWL, 12.5mm Dia, 60nm Bandwidth, OD 6 Fluorescence Filter",195,65,447
"432","447nm CWL, 25mm Dia, 60nm Bandwidth, OD 6 Fluorescence Filter",260,65,447
"433","447nm CWL, 50mm Dia, 60nm Bandwidth, OD 6 Fluorescence Filter",675,65,447
"434","448nm CWL, 12.5mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",195,25,448
"435","448nm CWL, 25mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",260,25,448
"436","448nm CWL, 50mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",675,25,448
"437","452nm CWL, 12.5mm Dia, 45nm Bandwidth, OD 6 Fluorescence Filter",195,51,452
"438","452nm CWL, 25mm Dia, 45nm Bandwidth, OD 6 Fluorescence Filter",260,51,452
"439","452nm CWL, 50mm Dia, 45nm Bandwidth, OD 6 Fluorescence Filter",675,51,452
"440","466nm CWL, 12.5mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",195,45,466
"441","466nm CWL, 25mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",260,45,466
"442","466nm CWL, 50mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",675,45,466
"443","472nm CWL, 12.5mm Dia, 30nm Bandwidth, OD 6 Fluorescence Filter",195,35,472
"444","472nm CWL, 25mm Dia, 30nm Bandwidth, OD 6 Fluorescence Filter",260,35,472
"445","472nm CWL, 50mm Dia, 30nm Bandwidth, OD 6 Fluorescence Filter",675,35,472
"446","475nm CWL, 12.5mm Dia, 50nm Bandwidth, OD 6 Fluorescence Filter",195,56,475
"447","475nm CWL, 25mm Dia, 50nm Bandwidth, OD 6 Fluorescence Filter",260,56,475
"448","475nm CWL, 50mm Dia, 50nm Bandwidth, OD 6 Fluorescence Filter",675,56,475
"449","483nm CWL, 12.5mm Dia, 31nm Bandwidth, OD 6 Fluorescence Filter",195,36,482.5
"450","483nm CWL, 25mm Dia, 31nm Bandwidth, OD 6 Fluorescence Filter",260,36,482.5
"451","483nm CWL, 50mm Dia, 31nm Bandwidth, OD 6 Fluorescence Filter",675,36,482.5
"452","494nm CWL, 12.5mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",195,25,494
"453","494nm CWL, 25mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",260,25,494
"454","494nm CWL, 50mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",675,25,494
"455","500nm CWL, 12.5mm Dia, 24nm Bandwidth, OD 6 Fluorescence Filter",195,29,500
"456","500nm CWL, 25mm Dia, 24nm Bandwidth, OD 6 Fluorescence Filter",260,29,500
"457","500nm CWL, 50mm Dia, 24nm Bandwidth, OD 6 Fluorescence Filter",675,29,500
"458","510nm CWL, 12.5mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",195,25,510
"459","510nm CWL, 25mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",260,25,510
"460","510nm CWL, 50mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",675,25,510
"461","510nm CWL, 12.5mm Dia, 84nm Bandwidth, OD 6 Fluorescence Filter",195,89,510
"462","510nm CWL, 25mm Dia, 84nm Bandwidth, OD 6 Fluorescence Filter",260,89,510
"463","510nm CWL, 50mm Dia, 84nm Bandwidth, OD 6 Fluorescence Filter",675,89,510
"464","512nm CWL, 12.5mm Dia, 25nm Bandwidth, OD 6 Fluorescence Filter",195,30,512
"465","512nm CWL, 25mm Dia, 25nm Bandwidth, OD 6 Fluorescence Filter",260,30,512
"466","512nm CWL, 50mm Dia, 25nm Bandwidth, OD 6 Fluorescence Filter",675,30,512
"467","520nm CWL, 12.5mm Dia, 36nm Bandwidth, OD 6 Fluorescence Filter",195,41,520
"468","520nm CWL, 25mm Dia, 36nm Bandwidth, OD 6 Fluorescence Filter",260,41,520
"469","520nm CWL, 50mm Dia, 36nm Bandwidth, OD 6 Fluorescence Filter",675,41,520
"470","520nm CWL, 12.5mm Dia, 70nm Bandwidth, OD 6 Fluorescence Filter",195,77,520
"471","520nm CWL, 25mm Dia, 70nm Bandwidth, OD 6 Fluorescence Filter",260,77,520
"472","520nm CWL, 50mm Dia, 70nm Bandwidth, OD 6 Fluorescence Filter",675,77,520
"473","525nm CWL, 12.5mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",195,18,525
"474","525nm CWL, 25mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",260,18,525
"475","525nm CWL, 50mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",675,18,525
"476","525nm CWL, 12.5mm Dia, 45nm Bandwidth, OD 6 Fluorescence Filter",195,51,525
"477","525nm CWL, 25mm Dia, 45nm Bandwidth, OD 6 Fluorescence Filter",260,51,525
"478","525nm CWL, 50mm Dia, 45nm Bandwidth, OD 6 Fluorescence Filter",675,51,525
"479","527nm CWL, 12.5mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",195,22,527
"480","527nm CWL, 25mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",260,22,527
"481","527nm CWL, 50mm Dia, 20nm Bandwidth, OD 6 Fluorescence Filter",675,22,527
"482","530nm CWL, 12.5mm Dia, 55nm Bandwidth, OD 6 Fluorescence Filter",195,62,530
