Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Transmission (%),Blocking Wavelength Range (nm),Compatible Fluorophore,Optical Density OD,CA (mm),Surface Quality,Coating,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Type,Typical Light Sources
"600nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-773,$130,12.50 +0.0/-0.1,600.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"Hexidium Iodide, Suncoast Yellow ",?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,594nm Laser; 590-620nm LED 
"600nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-785,$205,25.00 +0.0/-0.1,600.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"Hexidium Iodide, Suncoast Yellow ",?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,594nm Laser; 590-620nm LED 
"600nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-797,$495,50.00 +0.0/-0.1,600.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"Hexidium Iodide, Suncoast Yellow ",?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,594nm Laser; 590-620nm LED 
"625nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-941,$130,12.50 +0.0/-0.1,625.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"ATTO 633, SYTO 59, HCS CellMask Red cytoplasmic ",?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"625nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-953,$205,25.00 +0.0/-0.1,625.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"ATTO 633, SYTO 59, HCS CellMask Red cytoplasmic ",?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"625nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-965,$495,50.00 +0.0/-0.1,625.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"ATTO 633, SYTO 59, HCS CellMask Red cytoplasmic ",?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"650nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-774,$130,12.50 +0.0/-0.1,650.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"Alexa Fluor® 647, SpectrumFRed, SYTO 60, ChlorophyllA ",?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,635-670nm Laser; 660nm LED 
"650nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-786,$205,25.00 +0.0/-0.1,650.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"Alexa Fluor® 647, SpectrumFRed, SYTO 60, ChlorophyllA ",?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,635-670nm Laser; 660nm LED 
"650nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-798,$495,50.00 +0.0/-0.1,650.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"Alexa Fluor® 647, SpectrumFRed, SYTO 60, ChlorophyllA ",?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,635-670nm Laser; 660nm LED 
"675nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-942,$130,12.50 +0.0/-0.1,675.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,DY-675 Absorption ,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
