Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Angle Sensitivity,Coating,Construction,Mount Thickness (mm),Operating Temperature (°C),Thickness Tolerance (mm),Type,Typical Applications
"820nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-783,$79,12.50 +0.00/-0.25,820 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"820nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-850,$120,25.00 +0.00/-0.25,820 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"820nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-917,$265,50.00 +0.00/-0.25,820 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"830nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-665,$79,12.50 +0.00/-0.25,830 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,GaAlAs Laser Diode 
"830nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-725,$120,25.00 +0.00/-0.25,830 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,GaAlAs Laser Diode 
"840nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-784,$79,12.50 +0.00/-0.25,840 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"840nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-851,$120,25.00 +0.00/-0.25,840 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"840nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-918,$265,50.00 +0.00/-0.25,840 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"850nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-785,$79,12.50 +0.00/-0.25,850 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"850nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-852,$120,25.00 +0.00/-0.25,850 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
