Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Coating,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Thickness Tolerance (mm),Type,Typical Applications
"330nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-983,$495,50.00 +0.0/-0.1,330 ,±2.0 ,10 ,±2.0 ,?75 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,FluoroGold Excitation 
"337nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-067,$130,12.50 +0.0/-0.1,337 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"N-(1-Pyrenyl)Maleimide, 1-Pyrenebutanoic Absorption "
"337nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-128,$205,25.00 +0.0/-0.1,337 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"N-(1-Pyrenyl)Maleimide, 1-Pyrenebutanoic Absorption "
"337nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-189,$495,50.00 +0.0/-0.1,337 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"N-(1-Pyrenyl)Maleimide, 1-Pyrenebutanoic Absorption "
"340nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-068,$130,12.50 +0.0/-0.1,340 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"N-(1-Pyrenyl)Maleimide, 1-Pyrenebutanoic Absorption "
"340nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-129,$205,25.00 +0.0/-0.1,340 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"N-(1-Pyrenyl)Maleimide, 1-Pyrenebutanoic Absorption "
"340nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-190,$495,50.00 +0.0/-0.1,340 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"N-(1-Pyrenyl)Maleimide, 1-Pyrenebutanoic Absorption "
"343nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",39-307,$130,12.50 +0.0/-0.1,343 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,3rd Harmonic Nd:YLF Laser 
"343nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",39-314,$205,25.00 +0.0/-0.1,343 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,3rd Harmonic Nd:YLF Laser 
"343nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",39-321,$495,50.00 +0.0/-0.1,343 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,3rd Harmonic Nd:YLF Laser 
