Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Coating,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Thickness Tolerance (mm),Type,Typical Applications
"520nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-093,$130,12.50 +0.0/-0.1,520 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"6-JOE, 5-CaboxyFluroescein, Dragon Green "
"520nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-154,$205,25.00 +0.0/-0.1,520 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"6-JOE, 5-CaboxyFluroescein, Dragon Green "
"520nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-215,$495,50.00 +0.0/-0.1,520 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"6-JOE, 5-CaboxyFluroescein, Dragon Green "
"532nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-094,$130,12.50 +0.0/-0.1,532 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Nd:YAG Laser Line/CY3(TM) Excitation 
"532nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-155,$205,25.00 +0.0/-0.1,532 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Nd:YAG Laser Line/CY3(TM) Excitation 
"532nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-216,$495,50.00 +0.0/-0.1,532 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Nd:YAG Laser Line/CY3(TM) Excitation 
"535nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-095,$130,12.50 +0.0/-0.1,535 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Ethidium Homodimer-2, Propidium Iodide "
"535nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-156,$205,25.00 +0.0/-0.1,535 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Ethidium Homodimer-2, Propidium Iodide "
"535nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-217,$495,50.00 +0.0/-0.1,535 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Ethidium Homodimer-2, Propidium Iodide "
"540nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-096,$130,12.50 +0.0/-0.1,540 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Suncoast Yellow, SYTO 82 "
"540nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-157,$205,25.00 +0.0/-0.1,540 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Suncoast Yellow, SYTO 82 "
"540nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-218,$495,50.00 +0.0/-0.1,540 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Suncoast Yellow, SYTO 82 "
"546nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-097,$130,12.50 +0.0/-0.1,546 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Eosin, Jo-Pro 1 "
"546nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-158,$205,25.00 +0.0/-0.1,546 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Eosin, Jo-Pro 1 "
"546nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-219,$495,50.00 +0.0/-0.1,546 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Eosin, Jo-Pro 1 "
"550nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-098,$130,12.50 +0.0/-0.1,550 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Acridine Yellow, Magnesium Orange, HiLyte Fluor 555 "
"550nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-159,$205,25.00 +0.0/-0.1,550 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Acridine Yellow, Magnesium Orange, HiLyte Fluor 555 "
"550nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-220,$495,50.00 +0.0/-0.1,550 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Acridine Yellow, Magnesium Orange, HiLyte Fluor 555 "
"560nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",87-887,$130,12.50 +0.0/-0.1,560 ,±2.0 ,10 ,±2.0 ,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"LDS 751, pHrodo succinimidyl ester, QSY 7 Carboxylic Acid Succinimdyl Ester "
"560nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",88-011,$205,25.00 +0.0/-0.1,560 ,±2.0 ,10 ,±2.0 ,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"LDS 751, pHrodo succinimidyl ester, QSY 7 Carboxylic Acid Succinimdyl Ester "
"560nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",88-017,$495,50.00 +0.0/-0.1,560 ,±2.0 ,10 ,±2.0 ,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"LDS 751, pHrodo succinimidyl ester, QSY 7 Carboxylic Acid Succinimdyl Ester "
"568nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-099,$130,12.50 +0.0/-0.1,568 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,mTangerine 
"568nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-160,$205,25.00 +0.0/-0.1,568 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,mTangerine 
"568nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-221,$495,50.00 +0.0/-0.1,568 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,mTangerine 
"580nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-100,$130,12.50 +0.0/-0.1,580 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Red 580, X-Rhod-1 Indicator "
"580nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-161,$205,25.00 +0.0/-0.1,580 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Red 580, X-Rhod-1 Indicator "
"580nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-222,$495,50.00 +0.0/-0.1,580 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Red 580, X-Rhod-1 Indicator "
"589nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-101,$130,12.50 +0.0/-0.1,589 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Bodipy TR Ceramide, Calcium Crimson, Calcium Orange, mPlum "
"589nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-162,$205,25.00 +0.0/-0.1,589 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Bodipy TR Ceramide, Calcium Crimson, Calcium Orange, mPlum "
"589nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-223,$495,50.00 +0.0/-0.1,589 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Bodipy TR Ceramide, Calcium Crimson, Calcium Orange, mPlum "
"594nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",86-733,$130,12.50 +0.0/-0.1,594 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,ATTO 590 
"594nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",86-737,$205,25.00 +0.0/-0.1,594 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,ATTO 590 
"594nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",86-741,$495,50.00 +0.0/-0.1,594 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,ATTO 590 
"600nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-102,$130,12.50 +0.0/-0.1,600 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Hexidium Iodide, Suncoast Yellow "
"600nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-163,$205,25.00 +0.0/-0.1,600 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Hexidium Iodide, Suncoast Yellow "
"600nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-224,$495,50.00 +0.0/-0.1,600 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Hexidium Iodide, Suncoast Yellow "
"610nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-103,$130,12.50 +0.0/-0.1,610 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Europium Chelate, FC02F "
"610nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-164,$205,25.00 +0.0/-0.1,610 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Europium Chelate, FC02F "
"610nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-225,$495,50.00 +0.0/-0.1,610 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Europium Chelate, FC02F "
"620nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-104,$130,12.50 +0.0/-0.1,620 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"DyLight 633, FluoSphere Crimson "
"620nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-165,$205,25.00 +0.0/-0.1,620 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"DyLight 633, FluoSphere Crimson "
"620nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-226,$495,50.00 +0.0/-0.1,620 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"DyLight 633, FluoSphere Crimson "
"632nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-105,$130,12.50 +0.0/-0.1,632 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Alexa Fluor® 633 
"632nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-166,$205,25.00 +0.0/-0.1,632 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Alexa Fluor® 633 
"632nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-227,$495,50.00 +0.0/-0.1,632 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Alexa Fluor® 633 
"636nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-106,$130,12.50 +0.0/-0.1,636 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Alexa Fluor® 633 
"636nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-167,$205,25.00 +0.0/-0.1,636 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Alexa Fluor® 633 
"636nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-228,$495,50.00 +0.0/-0.1,636 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Alexa Fluor® 633 
"640nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-107,$130,12.50 +0.0/-0.1,640 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,SYTOX Red-DNA 
"640nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-168,$205,25.00 +0.0/-0.1,640 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,SYTOX Red-DNA 
"640nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-229,$495,50.00 +0.0/-0.1,640 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,SYTOX Red-DNA 
"647nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-108,$130,12.50 +0.0/-0.1,647 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Alexa Fluor® 633 
"647nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-169,$205,25.00 +0.0/-0.1,647 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Alexa Fluor® 633 
"647nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-230,$495,50.00 +0.0/-0.1,647 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Alexa Fluor® 633 
"650nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-109,$130,12.50 +0.0/-0.1,650 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Alexa Fluor® 647, SpectrumFRed, SYTO 60, ChlorophyllA "
"650nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-170,$205,25.00 +0.0/-0.1,650 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Alexa Fluor® 647, SpectrumFRed, SYTO 60, ChlorophyllA "
"650nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-231,$495,50.00 +0.0/-0.1,650 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Alexa Fluor® 647, SpectrumFRed, SYTO 60, ChlorophyllA "
"656nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-110,$130,12.50 +0.0/-0.1,656 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"FluoroSphere Red, FluoroSphere Dark Red "
"656nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-171,$205,25.00 +0.0/-0.1,656 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"FluoroSphere Red, FluoroSphere Dark Red "
"656nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-232,$495,50.00 +0.0/-0.1,656 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"FluoroSphere Red, FluoroSphere Dark Red "
"660nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",86-086,$130,12.50 +0.0/-0.1,660 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"4-[4-(Diethylamino)Styryl]-N-MethylPyridinium Iodide, LysoTracker Yellow HCK-123, PKH67 "
"660nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",86-089,$205,25.00 +0.0/-0.1,660 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"4-[4-(Diethylamino)Styryl]-N-MethylPyridinium Iodide, LysoTracker Yellow HCK-123, PKH68 "
"660nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",86-092,$495,50.00 +0.0/-0.1,660 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"4-[4-(Diethylamino)Styryl]-N-MethylPyridinium Iodide, LysoTracker Yellow HCK-123, PKH69 "
"671nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-111,$130,12.50 +0.0/-0.1,671 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Emission Sodium Green 
"671nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-172,$205,25.00 +0.0/-0.1,671 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Emission Sodium Green 
"671nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-233,$495,50.00 +0.0/-0.1,671 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Emission Sodium Green 
"676nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-112,$130,12.50 +0.0/-0.1,676 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Dylight 680 
"676nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-173,$205,25.00 +0.0/-0.1,676 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Dylight 681 
"676nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-234,$495,50.00 +0.0/-0.1,676 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Dylight 682 
"680nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",88-568,$130,12.50 +0.0/-0.1,680 ,±2.0 ,10 ,±2.0 ,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,ATTO 680 
"680nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",88-571,$205,25.00 +0.0/-0.1,680 ,±2.0 ,10 ,±2.0 ,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,ATTO 681 
"680nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",88-574,$495,50.00 +0.0/-0.1,680 ,±2.0 ,10 ,±2.0 ,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,ATTO 682 
